시점,합계,일본,중국,아시아,미주,유럽,중동,아프리카,대양주
2014-01,2373831 ,492732 ,484501 ,917657 ,188447 ,149191 ,38426 ,1314 ,101563 
2014-02,2133838 ,429773 ,523628 ,804373 ,137412 ,120599 ,33265 ,1144 ,83644 
2014-03,2107383 ,487982 ,500741 ,708200 ,162458 ,142807 ,34896 ,974 ,69325 
2014-04,2215142 ,408801 ,642018 ,732026 ,168086 ,157358 ,35415 ,713 ,70725 
2014-05,2223083 ,414947 ,660414 ,688652 ,181419 ,172068 ,37294 ,700 ,67589 
2014-06,2301742 ,417679 ,686508 ,713043 ,193773 ,182405 ,34942 ,997 ,72395 
2014-07,2615516 ,461133 ,800375 ,822436 ,217548 ,194562 ,33759 ,1792 ,83911 
2014-08,2826225 ,500766 ,914285 ,866776 ,228220 ,200398 ,33554 ,990 ,81236 
2014-09,2366300 ,454330 ,723439 ,701641 ,188437 ,185706 ,37553 ,0 ,75121 
2014-10,2553659 ,472389 ,775020 ,840209 ,171512 ,174903 ,39825 ,0 ,79621 
2014-11,2311185 ,445680 ,632073 ,828260 ,158095 ,137923 ,32558 ,0 ,76596 
2014-12,2463268 ,456708 ,610203 ,959332 ,174726 ,134210 ,31973 ,0 ,96116 
2015-01,2755790 ,534343 ,621745 ,1082939 ,197437 ,172968 ,38298 ,0 ,108060 
2015-02,2469666 ,478530 ,684630 ,911918 ,145776 ,129044 ,29073 ,0 ,90695 
2015-03,2542250 ,543372 ,699254 ,852988 ,177814 ,155389 ,33929 ,0 ,79504 
2015-04,2668724 ,495236 ,812200 ,872120 ,192846 ,177350 ,38639 ,0 ,80333 
2015-05,2711482 ,506969 ,851557 ,833710 ,204368 ,195568 ,40664 ,0 ,78646 
2015-06,2100506 ,388589 ,541350 ,658351 ,203399 ,199205 ,33851 ,0 ,75761 
2015-07,2242443 ,449663 ,459145 ,749509 ,232913 ,224143 ,36011 ,0 ,91059 
2015-08,2674141 ,545396 ,695295 ,841326 ,237515 ,219132 ,40208 ,0 ,95250 
2015-09,2479421 ,501144 ,685401 ,764391 ,200249 ,204193 ,36031 ,0 ,88012 
2015-10,2817891 ,560855 ,848823 ,893140 ,184466 ,195852 ,39913 ,0 ,94681 
2015-11,2632743 ,553910 ,687974 ,942191 ,169434 ,148656 ,32415 ,0 ,98163 
2015-12,2814172 ,590334 ,662782 ,1094921 ,183416 ,136877 ,29740 ,0 ,116102 
2016-01,3148892 ,682601 ,718407 ,1195819 ,211912 ,175002 ,38143 ,0 ,127008 
2016-02,2919381 ,636157 ,758455 ,1068647 ,165864 ,145322 ,35379 ,0 ,109557 
2016-03,2707992 ,638128 ,704008 ,909264 ,182307 ,149391 ,34559 ,0 ,90335 
2016-04,2861124 ,542826 ,844585 ,959889 ,194595 ,185210 ,41094 ,441 ,92484 
2016-05,2858830 ,511118 ,886907 ,916585 ,206415 ,200479 ,42562 ,702 ,94062 
2016-06,3009110 ,549285 ,901146 ,979326 ,220631 ,218613 ,40330 ,1064 ,98715 
2016-07,3444808 ,653409 ,1012311 ,1128174 ,249552 ,243356 ,43346 ,1532 ,113128 
