ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11200,성동구,11400,성수동1가,1,대지,0685,0308,아트빌딩,2024-02-20,19000,24.64,30.98,4.0,,,2003,오피스텔,중개거래,서울 성동구
2024,11740,강동구,10900,천호동,1,대지,0322,0034,아트팰리스,2024-02-20,25700,39.29,25.3,2.0,,,2012,연립다세대,중개거래,서울 영등포구
2024,11305,강북구,10100,미아동,1,대지,1354,0000,벽산라이브파크,2024-02-20,70000,114.68,0.0,19.0,,,2004,아파트,중개거래,서울 강북구
2024,11320,도봉구,10700,창동,1,대지,0553,0009,한원힐트리움553,2024-02-20,25000,54.58,26.95,6.0,,,2015,연립다세대,중개거래,서울 강북구
2024,11305,강북구,10300,수유동,1,대지,0518,0034,금호그린빌,2024-02-20,13000,37.89,18.89,5.0,,,2002,연립다세대,중개거래,서울 강북구
2024,11740,강동구,10700,암사동,1,대지,0452,0018,삼정하우스,2024-02-20,24400,26.54,19.01,2.0,,,2014,연립다세대,중개거래,서울 강동구
2024,11710,송파구,11200,오금동,1,대지,0152,0005,제니스빌,2024-02-20,38500,44.16,29.22,4.0,,,2017,연립다세대,중개거래,서울 송파구
2024,11500,강서구,10800,공항동,1,대지,0055,0144,가진빌라,2024-02-20,25000,61.57,29.52,3.0,,,2002,연립다세대,중개거래,서울 강서구
2024,11620,관악구,10100,봉천동,1,대지,0635,0427,은하수빌,2024-02-20,22000,28.0,23.0,2.0,,,2013,연립다세대,중개거래,서울 관악구
2024,11260,중랑구,10600,신내동,1,대지,0493,0148,(493-148),2024-02-20,27000,29.82,19.78,3.0,,,2023,연립다세대,직거래,
2024,11470,양천구,10300,신월동,1,대지,0421,0010,금성3차A,2024-02-20,23000,37.42,31.78,-1.0,,,1987,연립다세대,직거래,
2024,11650,서초구,10800,서초동,1,대지,1338,0020,서초현대렉시온,2024-02-20,31900,34.0,45.71,18.0,,,2005,오피스텔,중개거래,서울 서초구
2024,11200,성동구,10500,마장동,1,대지,0820,0000,왕십리금호어울림,2024-02-20,80000,59.97,0.0,11.0,,,2006,아파트,중개거래,서울 성동구
2024,11230,동대문구,11000,이문동,,,,,,2024-02-20,45200,36.43,53.0,0.0,,,1969,단독다가구,중개거래,서울 동대문구
2024,11680,강남구,10800,논현동,1,대지,0272,0008,파크빌,2024-02-20,18000,18.7,11.2,2.0,,,2013,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0056,0655,한성빌라(56-655),2024-02-20,18000,58.77,27.83,3.0,,,1994,연립다세대,직거래,
2024,11650,서초구,10100,방배동,1,대지,0855,0002,로뎀하우스Ⅰ,2024-02-20,36500,43.1,29.28,3.0,,,2014,연립다세대,직거래,
2024,11320,도봉구,10600,방학동,1,대지,0736,0000,신동아타워아파트,2024-02-19,43000,84.74,0.0,15.0,,,1997,아파트,중개거래,서울 도봉구
2024,11230,동대문구,10900,휘경동,1,대지,0377,0000,이문휘경지웰에스테이트,2024-02-19,17900,14.14,0.0,6.0,,,2021,아파트,중개거래,서울 동대문구
2024,11305,강북구,10100,미아동,1,대지,0258,0359,명성하이빌,2024-02-19,34600,80.21,26.92,4.0,,,2002,연립다세대,중개거래,서울 도봉구
2024,11410,서대문구,11600,창천동,1,대지,0372,0000,라포레홍대,2024-02-19,60000,29.71,10.31,8.0,,,2022,연립다세대,직거래,
2024,11410,서대문구,11600,창천동,1,대지,0372,0000,라포레홍대,2024-02-19,64400,29.71,10.31,8.0,,20240219,2022,연립다세대,직거래,
2024,11320,도봉구,10600,방학동,1,대지,0665,0003,은하씨티빌,2024-02-19,14000,43.56,23.77,1.0,,,2002,연립다세대,직거래,
2024,11740,강동구,10800,성내동,1,대지,0448,0005,광남캐스빌(448-5),2024-02-19,60000,81.62,0.0,8.0,,,2001,아파트,중개거래,서울 강동구
2024,11140,중구,16500,황학동,1,대지,1173,0000,신당 큐브스테이트,2024-02-19,24500,23.46,37.33,16.0,,,2022,오피스텔,중개거래,서울 서초구
2024,11710,송파구,11100,방이동,1,대지,0116,0006,더베일리,2024-02-19,56000,28.2,16.02,3.0,,,2023,연립다세대,직거래,
2024,11650,서초구,10800,서초동,1,대지,1445,0001,해링턴 타워 서초,2024-02-19,73900,44.03,59.65,10.0,,,2023,오피스텔,중개거래,서울 서초구
2024,11380,은평구,10700,응암동,1,대지,0771,0000,e편한세상백련산,2024-02-19,60000,84.31,0.0,13.0,,,2022,아파트,중개거래,서울 은평구
2024,11380,은평구,10700,응암동,1,대지,0771,0000,e편한세상백련산,2024-02-19,60000,84.31,0.0,13.0,,20240219,2022,아파트,중개거래,서울 은평구
2024,11620,관악구,10100,봉천동,1,대지,0869,0006,서울대역 마에스트로,2024-02-19,15000,22.6,34.88,3.0,,,2012,오피스텔,중개거래,서울 관악구
2024,11305,강북구,10300,수유동,1,대지,0530,0043,우광(530-43),2024-02-19,17000,37.09,34.25,1.0,,,1990,연립다세대,중개거래,서울 강북구
2024,11215,광진구,10500,자양동,1,대지,0772,0019,헤렌하우스(772-19),2024-02-19,31900,29.98,26.84,3.0,,,2018,연립다세대,중개거래,서울 광진구
2024,11320,도봉구,10600,방학동,1,대지,0628,0011,신세계드림빌,2024-02-19,18000,34.7,22.2,4.0,,,2014,연립다세대,중개거래,서울 도봉구
2024,11440,마포구,12400,연남동,1,대지,0254,0015,평화빌라,2024-02-19,58000,83.42,41.17,3.0,,,1992,연립다세대,중개거래,서울 마포구
2024,11500,강서구,10500,마곡동,1,대지,0760,0000,마곡나루역보타닉푸르지오시티,2024-02-19,21900,22.2,31.65,9.0,,,2017,오피스텔,중개거래,서울 강서구
2024,11500,강서구,10300,화곡동,1,대지,0163,0019,가온빌(163-19),2024-02-19,13000,26.19,17.0,3.0,,,2015,연립다세대,중개거래,서울 강서구
2024,11380,은평구,10700,응암동,1,대지,0091,0008,CJ드림시티,2024-02-19,12000,23.04,33.4,5.0,,,2004,오피스텔,중개거래,서울 은평구
2024,11440,마포구,12500,성산동,1,대지,0592,0005,상암 우남퍼스트빌스타,2024-02-19,14500,16.86,26.72,9.0,,,2017,오피스텔,중개거래,서울 마포구
2024,11440,마포구,10300,신공덕동,1,대지,0167,0000,대우메트로디오빌,2024-02-19,40000,34.39,0.0,19.0,,,2005,아파트,중개거래,서울 마포구
2024,11530,구로구,10600,고척동,1,대지,0296,0000,대우,2024-02-19,70000,114.95,0.0,12.0,,,1999,아파트,직거래,
2024,11230,동대문구,10600,장안동,1,대지,0394,0016,"동광팰리스(나,라)",2024-02-19,30000,49.23,30.93,4.0,,,2014,연립다세대,중개거래,서울 동대문구
2024,11530,구로구,10600,고척동,1,대지,0340,0000,고척LIG리가1차,2024-02-19,77000,84.98,0.0,11.0,,,2009,아파트,중개거래,서울 구로구
2024,11650,서초구,10800,서초동,1,대지,1445,0001,해링턴 타워 서초,2024-02-19,70000,42.1,56.92,15.0,,,2023,오피스텔,중개거래,서울 서초구
2024,11530,구로구,10700,개봉동,1,대지,0309,0006,신세계로즈빌,2024-02-19,15200,28.09,17.37,4.0,,,2012,연립다세대,중개거래,서울 구로구
2024,11545,금천구,10100,가산동,1,대지,0776,0000,가산대명벨리온,2024-02-19,11000,16.61,25.8,11.0,,,2017,오피스텔,중개거래,서울 금천구
2024,11545,금천구,10100,가산동,1,대지,0776,0000,가산대명벨리온,2024-02-19,11000,16.61,25.8,10.0,,,2017,오피스텔,중개거래,서울 금천구
2024,11740,강동구,10900,천호동,1,대지,0015,0005,지혜빌,2024-02-19,30000,26.05,15.8,3.0,,,2018,연립다세대,중개거래,서울 강동구
2024,11545,금천구,10300,시흥동,1,대지,0868,0045,웨스트오션(868-45),2024-02-19,27500,29.85,20.99,4.0,,,2023,연립다세대,직거래,
2024,11530,구로구,10700,개봉동,1,대지,0489,0000,개봉동현대아이파크,2024-02-19,91000,84.98,0.0,10.0,,,2006,아파트,중개거래,서울 구로구
2024,11500,강서구,10300,화곡동,1,대지,0070,0038,청우하이츠빌,2024-02-19,24000,62.75,34.76,2.0,,,2004,연립다세대,중개거래,서울 강서구
2024,11290,성북구,13300,정릉동,1,대지,0239,0000,정릉풍림아이원,2024-02-19,46500,59.88,0.0,5.0,,,2005,아파트,중개거래,서울 성북구
2024,11380,은평구,11400,진관동,1,대지,0100,0003,아이파크 포레스트 게이트,2024-02-19,10450,20.01,28.75,15.0,,,2013,오피스텔,중개거래,서울 은평구
2024,11500,강서구,10300,화곡동,1,대지,0339,0005,하나타운A동,2024-02-19,18700,29.32,20.55,2.0,,,2015,연립다세대,중개거래,서울 강서구
2024,11530,구로구,10700,개봉동,1,대지,0198,0005,대흥아이빌1동,2024-02-18,19000,25.85,13.33,6.0,,,2017,연립다세대,중개거래,서울 구로구
2024,11500,강서구,10200,등촌동,1,대지,0632,0017,에비앙하우스,2024-02-18,24500,29.48,14.82,4.0,,,2014,연립다세대,중개거래,서울 강서구
2024,11380,은평구,10100,수색동,1,대지,0417,0000,DMC롯데캐슬더퍼스트,2024-02-18,89700,59.96,0.0,15.0,,,2021,아파트,중개거래,서울 은평구
2024,11620,관악구,10100,봉천동,1,대지,0875,0001,관악캠퍼스타워,2024-02-18,20000,28.56,0.0,12.0,,,1998,아파트,중개거래,서울 관악구
2024,11530,구로구,10800,오류동,1,대지,0097,0004,서울가든빌라1단지,2024-02-18,45000,45.9,58.05,2.0,,,1987,연립다세대,중개거래,서울 구로구
2024,11530,구로구,10800,오류동,1,대지,0171,0008,양지마을(171-8),2024-02-18,47800,59.58,33.28,2.0,,,2022,연립다세대,직거래,
2024,11590,동작구,10500,흑석동,1,대지,0341,0000,아크로리버하임,2024-02-18,161000,59.92,0.0,19.0,,,2019,아파트,중개거래,서울 동작구
2024,11590,동작구,10700,사당동,1,대지,0175,0008,사당루체빌,2024-02-17,40000,57.34,34.74,3.0,,,2017,연립다세대,중개거래,서울 동작구
2024,11680,강남구,11500,수서동,1,대지,0716,0000,사이룩스,2024-02-17,22400,33.52,44.86,4.0,,,2003,오피스텔,중개거래,서울 강남구
2024,11560,영등포구,11500,당산동5가,1,대지,0009,0002,당산 삼성쉐르빌,2024-02-17,21000,28.4,42.46,4.0,,,2013,오피스텔,중개거래,서울 영등포구
2024,11650,서초구,10200,양재동,1,대지,0392,0018,일조파크뷰,2024-02-17,26500,19.58,10.57,4.0,,,2014,연립다세대,중개거래,서울 서초구
2024,11530,구로구,10800,오류동,1,대지,0315,0005,디자인하우스,2024-02-17,27700,41.95,31.7,4.0,,,2014,연립다세대,중개거래,서울 구로구
2024,11545,금천구,10300,시흥동,1,대지,0837,0009,한백아트8차,2024-02-17,36000,41.75,28.17,3.0,,,2022,연립다세대,직거래,
2024,11740,강동구,10600,둔촌동,1,대지,0135,0001,현대3,2024-02-17,71500,79.99,0.0,1.0,,,1988,아파트,중개거래,서울 강동구
2024,11380,은평구,10800,역촌동,1,대지,0050,0024,디딤빌아파트,2024-02-17,45000,84.32,0.0,8.0,,,2000,아파트,중개거래,서울 은평구
2024,11740,강동구,10100,명일동,1,대지,0047,0002,고덕역 갑을명가시티 오피스텔,2024-02-17,14750,17.86,28.94,13.0,,,2018,오피스텔,중개거래,서울 강동구
2024,11290,성북구,10300,돈암동,1,대지,0001,0000,돈암현대아파트,2024-02-17,59900,68.76,0.0,1.0,,,1991,아파트,중개거래,서울 성북구
2024,11620,관악구,10100,봉천동,1,대지,1666,0051,더헤르미온,2024-02-17,23950,15.45,24.02,3.0,,,2021,오피스텔,중개거래,서울 관악구
2024,11320,도봉구,10800,도봉동,1,대지,0657,0000,한양수자인,2024-02-17,54000,84.46,0.0,5.0,,,2010,아파트,중개거래,서울 도봉구
2024,11470,양천구,10100,신정동,1,대지,0876,0009,신성빌라,2024-02-17,15000,36.86,25.27,1.0,,20240219,1990,연립다세대,직거래,
2024,11710,송파구,10800,문정동,1,대지,0652,0002,문정 오벨리스크,2024-02-17,27000,27.66,40.94,15.0,,,2018,오피스텔,중개거래,서울 송파구
2024,11650,서초구,10200,양재동,1,대지,0386,0022,써니룩,2024-02-17,55000,21.2,16.91,2.0,,,2019,연립다세대,중개거래,서울 강남구
2024,11545,금천구,10100,가산동,1,대지,0237,0057,팰리스타운,2024-02-17,24000,47.22,23.9,4.0,,,2015,연립다세대,중개거래,서울 금천구
2024,11740,강동구,10100,명일동,1,대지,0047,0002,고덕역 갑을명가시티 오피스텔,2024-02-17,14900,17.86,28.94,12.0,,,2018,오피스텔,중개거래,서울 강동구
2024,11380,은평구,10800,역촌동,1,대지,0028,0009,번영하이츠빌라(28-9),2024-02-17,22500,64.56,24.68,5.0,,,2002,연립다세대,중개거래,서울 은평구
2024,11470,양천구,10300,신월동,1,대지,1078,0000,목동센트럴아이파크위브4단지,2024-02-17,107500,84.98,0.0,18.0,,,2020,아파트,중개거래,서울 양천구
2024,11620,관악구,10100,봉천동,1,대지,0100,0016,평강빌라,2024-02-17,23000,61.2,34.03,1.0,,,2001,연립다세대,중개거래,서울 관악구
2024,11470,양천구,10200,목동,1,대지,0727,0022,대휘스위트빌,2024-02-17,35000,59.61,26.89,4.0,,,2002,연립다세대,중개거래,서울 양천구
2024,11200,성동구,11500,성수동2가,1,대지,0277,0037,성원상떼뷰오피스텔,2024-02-17,16500,28.08,37.25,6.0,,,2003,오피스텔,중개거래,서울 성동구
2024,11320,도봉구,10800,도봉동,,,,,,2024-02-17,42000,187.92,125.7,0.0,,,1990,단독다가구,중개거래,서울 도봉구
2024,11470,양천구,10100,신정동,1,대지,0326,0000,목동신시가지12,2024-02-17,139500,71.64,0.0,15.0,,,1988,아파트,중개거래,서울 양천구
2024,11380,은평구,10600,대조동,1,대지,0220,0007,미래아트빌,2024-02-17,24000,29.94,19.49,3.0,,,2014,연립다세대,중개거래,서울 은평구
2024,11620,관악구,10100,봉천동,1,대지,0100,0336,대호빌라,2024-02-17,22800,53.84,24.79,1.0,,,2002,연립다세대,중개거래,서울 관악구
2024,11440,마포구,12500,성산동,1,대지,0593,0001,벽산상암스마트큐브,2024-02-17,15050,19.2,28.1,14.0,,,2017,오피스텔,중개거래,서울 마포구
