Time (seconds),x,y,z
8.74,-180,312,-960
8.84,-120,292,-956
8.94,-184,304,-956
9.04,-120,276,-956
9.14,-160,272,-948
9.24,-108,256,-952
9.34,-112,272,-960
9.44,-116,280,-956
9.54,-116,276,-976
9.64,-92,308,-956
9.74,-80,348,-948
9.84,-92,348,-932
9.94,-108,364,-940
10.04,-132,384,-924
10.14,-88,356,-940
10.24,-120,324,-960
10.34,-108,340,-944
10.44,-100,280,-964
10.54,-104,316,-956
10.64,-116,320,-944
10.74,-104,376,-916
10.84,-92,500,-876
10.94,-108,468,-908
11.04,-72,468,-904
11.14,-96,496,-868
11.24,-116,480,-868
11.34,-120,480,-880
11.44,-104,468,-888
11.54,-96,440,-908
11.64,-132,448,-896
11.74,-92,392,-948
11.84,40,416,-832
11.94,12,256,-956
12.04,64,300,-932
12.14,132,244,-948
12.24,76,252,-956
12.34,-24,280,-964
12.44,44,220,-872
12.54,-48,328,-1012
12.64,-48,260,-1024
12.74,132,296,-1204
12.84,168,220,-1196
12.94,-92,64,-1020
13.04,-760,-460,-152
13.14,-504,-164,-580
13.24,228,236,-1204
13.34,456,552,-1552
13.44,-124,44,-880
13.54,-672,-468,-300
13.64,-108,-8,-656
13.74,720,360,-1912
13.84,324,240,-1076
13.94,-400,-256,-588
14.04,-320,-276,-584
14.14,448,188,-1332
14.24,372,188,-1164
14.34,-232,-156,-748
14.44,-332,-224,-516
14.54,180,80,-1064
14.64,460,372,-1300
14.74,160,144,-988
14.84,-8,28,-944
14.94,-84,-36,-844
15.04,-4,108,-944
15.14,128,140,-1032
15.24,164,148,-1068
15.34,120,120,-980
15.44,100,128,-1052
15.54,48,100,-1080
15.64,-120,16,-992
15.74,-320,-32,-916
15.84,-496,-88,-736
15.94,-668,-188,-612
16.04,-836,-276,-348
16.14,-940,-476,-192
16.24,-692,-192,-240
16.34,-176,-40,-968
16.44,56,-176,-980
16.54,316,64,-1120
16.64,444,28,-964
16.74,592,12,-876
16.84,728,16,-1208
16.94,476,-16,-1032
17.04,52,-196,-880
17.14,-336,-176,-716
17.24,-560,-312,-560
17.34,-792,-312,-108
17.44,-972,-452,144
17.54,-1044,-580,464
17.64,-880,-388,16
17.74,-604,-280,-552
17.84,-440,-80,-548
17.94,-16,20,-684
18.04,512,32,-1120
18.14,764,80,-1140
18.24,584,84,-852
18.34,468,24,-800
18.44,428,0,-844
18.54,552,76,-1208
18.64,404,-36,-1400
18.74,-232,-44,-348
18.84,-592,-1036,288
18.94,-504,-812,228
19.04,-520,-680,204
19.14,-180,-88,-532
19.24,188,1040,-628
19.34,496,1688,-512
19.44,444,1424,-1104
19.54,-16,592,-620
19.64,76,-512,-1060
19.74,-532,-792,492
19.84,-248,-720,-400
19.94,176,580,-452
20.04,620,936,-652
20.14,724,1696,-228
20.24,856,772,-764
20.34,740,240,-948
20.44,240,-72,-488
20.54,-732,-124,304
20.64,-1236,-8,1000
20.74,-1204,-20,772
20.84,-644,-24,-12
20.94,-156,144,-776
21.04,200,356,-908
21.14,712,424,-1128
21.24,776,448,-1052
21.34,580,220,-904
21.44,376,212,-912
21.54,4,20,-884
21.64,-512,40,-520
21.74,-852,60,-260
21.84,-1184,112,252
21.94,-1272,-4,256
22.04,-984,-60,-104
22.14,-448,-52,-612
22.24,-8,-96,-1112
22.34,188,92,-780
22.44,488,96,-908
22.54,656,48,-900
22.64,720,44,-952
22.74,640,-48,-1116
22.84,344,-136,-1024
22.94,-40,-232,-844
23.04,-404,-68,-696
23.14,-748,-12,-332
23.24,-988,44,-108
23.34,-1156,16,0
23.44,-1212,-88,144
23.54,-1196,72,88
23.64,-836,40,-112
23.74,-164,-60,-620
23.84,224,32,-916
23.94,600,-44,-752
24.04,988,132,-960
24.14,1068,100,-772
24.24,812,-20,-808
24.34,596,-88,-1116
24.44,-100,-316,-720
24.54,-652,-172,-424
24.64,-868,84,-104
24.74,-952,32,-232
24.84,-1124,56,196
24.94,-1220,0,380
25.04,-980,-156,280
25.14,-404,-8,-404
25.24,332,-444,-856
25.34,788,-464,-912
25.44,888,-176,-404
25.54,1036,-156,-440
25.64,1104,-144,-624
25.74,1036,-412,-700
25.84,416,-292,-540
25.94,-156,-520,-752
26.04,-584,-508,-520
26.14,-788,-352,-324
26.24,-884,-252,-412
