호선,역사명,에스컬레이터 외부,에스컬레이터내부
1,계 양,4,0
1,귤 현,0,0
1,박 촌,4,0
1,임 학,0,4
1,계 산,2,6
1,경인교대,2,6
1,작 전,2,2
1,갈 산,2,4
1,부평구청,2,8
1,부평시장,2,4
1,부 평,0,16
1,동 수,2,5
1,부평삼거리,2,4
1,간석오거리,2,8
1,인천시청,2,10
1,예술회관,2,6
1,인천터미널,2,10
1,문학경기장,2,4
1,선 학,2,2
1,신 연 수,2,0
1,원 인 재,2,4
1,동 춘,4,4
1,동 막,0,0
1,캠퍼스타운,9,8
1,테크노파크,3,8
1,지식정보단지,2,8
1,인천대입구,2,8
1,센트럴파크,5,8
1,국제업무지구,0,8
1,송도달빛축제공원,8,8
2,검단오류,2,4
2,왕길,2,4
2,검단사거리,1,4
2,마전,1,4
2,완정,4,6
2,독정,4,6
2,검암,2,8
2,검바위,2,4
2,아시아드경기장,4,4
2,서구청,4,6
2,가정(루원시티),2,16
2,가정중앙시장,2,4
2,석남(거북시장),0,4
2,서부여성회관,0,4
2,인천가좌,0,6
2,가재울,2,6
2,주안국가산단,0,6
2,주안,2,10
2,시민공원,0,5
2,석바위시장,0,5
2,인천시청,4,8
2,석천사거리,5,4
2,모래내시장,4,6
2,만수,4,4
2,남동구청,4,4
2,인천대공원,2,4
2,운연(서창),0,4
7,까치울,6,4
7,부천종합운동장,6,10
7,춘의,8,4
7,신중동,8,8
7,부천시청,8,4
7,상동,8,4
7,삼산체육관,10,4
7,굴포천,6,8
7,부평구청,4,11
7,산곡,8,6
7,석남,8,20
