"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.136193100E-2,-7.973302007E-1,-3.376901627E0,1.654881477E0,3.844194681E0
3.134593100E-2,-7.970962524E-1,-3.376563072E0,1.654658318E0,3.843752693E0
4.133743100E-2,4.817827940E-1,-3.234626055E0,1.010163307E0,3.422769388E0
5.133176400E-2,3.622846603E-1,-2.996653557E0,8.204307556E-1,3.127984869E0
6.132726400E-2,1.828323007E-1,-2.856656790E0,1.032828331E0,3.043131615E0
7.132366400E-2,3.492105007E-2,-2.912342787E0,1.248318672E0,3.168794644E0
8.132066400E-2,1.921302080E-2,-2.914872408E0,1.331801414E0,3.204769150E0
9.131780600E-2,7.224720716E-2,-2.904588461E0,1.322902679E0,3.192479489E0
1.013150560E-1,9.161698818E-2,-2.960544109E0,1.202455521E0,3.196734955E0
1.113126110E-1,7.144916058E-2,-3.022742748E0,1.054088593E0,3.202058942E0
1.213102110E-1,4.478907585E-2,-3.102507591E0,8.725013733E-1,3.223168947E0
1.313078470E-1,-7.579377294E-2,-3.110205173E0,8.629026413E-1,3.228578927E0
1.413056800E-1,-1.095295548E-1,-3.132448196E0,8.996725082E-1,3.260926103E0
1.513035260E-1,-1.825045347E-1,-3.182549000E0,1.018188477E0,3.346435987E0
1.613015260E-1,-1.909039617E-1,-3.229339123E0,1.108386040E0,3.419589903E0
1.712995260E-1,-2.554798722E-1,-3.266637802E0,1.254737854E0,3.508640702E0
1.812975880E-1,-3.568573296E-1,-3.290240288E0,1.357034683E0,3.576950019E0
1.912957640E-1,-4.515637159E-1,-3.286909580E0,1.370447159E0,3.589681016E0
2.012940410E-1,-5.481693745E-1,-3.284496546E0,1.444286346E0,3.629651536E0
2.112923560E-1,-6.798558235E-1,-3.269496918E0,1.492864609E0,3.657930942E0
2.212907560E-1,-7.062352896E-1,-3.253560543E0,1.475326538E0,3.641567367E0
2.312892320E-1,-7.531784773E-1,-3.244104147E0,1.391869545E0,3.609541573E0
2.412876860E-1,-7.331443429E-1,-3.224841595E0,1.312242508E0,3.557960699E0
2.512862070E-1,-7.464517355E-1,-3.193959236E0,1.283216476E0,3.522103110E0
2.612846650E-1,-8.008054495E-1,-3.146483898E0,1.184885979E0,3.456241466E0
2.712832250E-1,-8.372735381E-1,-3.117596149E0,1.150828362E0,3.427074357E0
2.812817630E-1,-8.410747051E-1,-3.091727734E0,1.158758163E0,3.407184691E0
2.912802810E-1,-7.558047771E-1,-3.035119534E0,1.287589073E0,3.382466122E0
3.012788520E-1,-6.908247471E-1,-3.069282055E0,1.402943611E0,3.444703462E0
3.112774030E-1,-5.197521448E-1,-3.131372213E0,1.621878624E0,3.564565121E0
3.212759360E-1,-5.105776787E-1,-3.002693176E0,1.770559311E0,3.523029400E0
3.312750020E-1,-4.443290234E-1,-2.710193157E0,1.869896889E0,3.322512544E0
3.412740350E-1,-1.891121566E-1,-2.209635496E0,2.028439522E0,3.005464910E0
3.512730010E-1,3.826588988E-1,-1.787653446E0,2.267469406E0,2.912653461E0
3.612720010E-1,1.391205311E0,-1.492333412E0,2.698490143E0,3.382951416E0
3.712709340E-1,3.218008280E0,-1.670224190E0,3.041233063E0,4.732264223E0
3.812698000E-1,4.487233639E0,-1.847387791E0,3.242236137E0,5.836111938E0
3.912687330E-1,5.899408340E0,-2.062313080E0,3.062159538E0,6.959380364E0
4.012676660E-1,7.204281807E0,-2.347491264E0,2.508350372E0,7.981491914E0
4.112665990E-1,8.078176498E0,-2.710770845E0,1.766381264E0,8.702029469E0
4.212655320E-1,9.310629845E0,-3.312072277E0,8.030948639E-1,9.914767382E0
4.312644650E-1,1.081602764E1,-4.100444794E0,-7.130813599E-2,1.156741917E1
4.412633980E-1,1.138845158E1,-4.725648403E0,-4.381847382E-1,1.233777079E1
4.512623310E-1,9.795170784E0,-4.811456680E0,-1.741819382E-1,1.091447779E1
4.612611970E-1,6.248521805E0,-4.819126129E0,3.592863083E-1,7.899182745E0
4.712601300E-1,3.368215084E0,-4.927483559E0,6.766471863E-1,6.006897576E0
4.812590300E-1,1.022532940E0,-4.696075439E0,6.343793869E-1,4.847796959E0
4.912578630E-1,-9.803320169E-1,-4.740336895E0,1.160078049E-1,4.842034960E0
5.012566960E-1,-2.661519766E0,-5.170965672E0,-3.490715027E-1,5.826184374E0
5.112554960E-1,-4.880692482E0,-6.053594589E0,-4.187488556E-1,7.787330554E0
5.212542960E-1,-6.863975525E0,-8.376131058E0,-7.055592537E-1,1.085225992E1
5.312530290E-1,-9.083318710E0,-1.065949059E1,-7.466917038E-1,1.402458437E1
5.412517620E-1,-1.312433815E1,-1.089167976E1,4.692029953E-1,1.706156767E1
5.512504950E-1,-1.946457100E1,-9.669015884E0,2.804059029E0,2.191397133E1
5.612492610E-1,-2.252483749E1,-9.244161606E0,3.854023933E0,2.465109183E1
5.712479610E-1,-2.478582382E1,-9.154666901E0,3.794342995E0,2.669348286E1
5.812467270E-1,-2.608334160E1,-9.440006256E0,2.340424538E0,2.783760072E1
5.912454930E-1,-2.522088051E1,-1.036984253E1,-4.871234894E-1,2.727386546E1
6.012441930E-1,-2.425048447E1,-1.113059998E1,-3.692106724E0,2.693711018E1
6.112429590E-1,-2.233342171E1,-1.304117775E1,-7.175011158E0,2.683905414E1
6.212417250E-1,-1.929118156E1,-1.506954575E1,-8.537633896E0,2.592551036E1
6.312404250E-1,-1.449133778E1,-1.782126617E1,-8.861148834E0,2.461943048E1
6.412391910E-1,-1.023658180E1,-2.086983490E1,-6.960578918E0,2.426493921E1
6.512379570E-1,-1.847697020E0,-2.406635857E1,-6.379247665E0,2.496594480E1
6.612367230E-1,9.988361359E0,-2.482572746E1,-5.310317039E0,2.728156106E1
6.712354890E-1,2.460078430E1,-2.291219139E1,-1.444517612E0,3.364897820E1
6.812342550E-1,3.250740433E1,-1.937031937E1,3.185290337E0,3.797481643E1
6.912330210E-1,3.791061020E1,-1.506211758E1,1.001811695E1,4.200529037E1
7.012317870E-1,3.806892395E1,-1.057930374E1,1.494690037E1,4.224422409E1
7.112304870E-1,3.392625427E1,-6.884100914E0,1.362933445E1,3.720403650E1
7.212292530E-1,2.949385834E1,-3.202468157E0,4.846601486E0,3.006048948E1
7.312280190E-1,2.871536446E1,-5.344140530E-1,4.272648811E0,2.903641304E1
7.412267190E-1,2.619712067E1,-8.699727058E-2,6.617588997E-1,2.620562200E1
7.512254850E-1,2.322906494E1,-5.000679493E-1,-2.018679619E0,2.332197662E1
7.612242510E-1,2.101454163E1,-1.412420988E0,-4.147167206E0,2.146636645E1
7.712230170E-1,2.007465363E1,-3.066244125E0,-6.120018005E0,2.120962498E1
7.812217830E-1,2.013300133E1,-4.648720264E0,-7.648413181E0,2.203285199E1
7.912205490E-1,1.812703896E1,-6.184524536E0,-9.619836807E0,2.143313195E1
8.012193150E-1,1.410066414E1,-9.603770256E0,-1.001615238E1,1.978343855E1
8.112180810E-1,9.075395584E0,-1.197567749E1,-1.042097950E1,1.828596375E1
8.212167810E-1,3.021041155E0,-1.271186447E1,-9.655570030E0,1.624648333E1
8.312155470E-1,-1.372017145E0,-1.484269905E1,-9.427720070E0,1.763717812E1
8.412143130E-1,-4.994929790E0,-1.946372986E1,-1.019908714E1,2.253458414E1
8.512130130E-1,-1.571147537E1,-2.094539070E1,-8.989626884E0,2.768344707E1
8.612117790E-1,-2.729782867E1,-1.827797699E1,-6.919377327E0,3.357281156E1
8.712105120E-1,-4.120616913E1,-1.219841194E1,-6.426580906E0,4.345170388E1
8.812091780E-1,-4.995953369E1,-8.457166672E0,-7.030216217E0,5.115567041E1
8.912078780E-1,-4.843059921E1,-9.678008080E0,-6.490938663E0,4.981284036E1
9.012066110E-1,-3.967435074E1,-1.320612907E1,-6.505694866E0,4.231760883E1
9.112053440E-1,-3.034354019E1,-1.731452942E1,-7.390545845E0,3.570915188E1
9.212040770E-1,-2.579822731E1,-1.881105423E1,-6.362069607E0,3.255580168E1
9.312028100E-1,-2.426189804E1,-2.065166473E1,-4.146442413E0,3.212979828E1
9.412015430E-1,-2.203937149E1,-2.270454407E1,-1.701766968E0,3.168795083E1
9.512002760E-1,-1.793622971E1,-2.451579285E1,-5.754137039E-1,3.038196070E1
9.611989090E-1,-1.294466972E1,-2.579299545E1,-1.736174107E0,2.891119834E1
9.711976420E-1,-1.186922073E0,-2.728815842E1,-5.067265511E0,2.778002076E1
9.811964080E-1,8.514454842E0,-2.625235748E1,-6.298290253E0,2.830813796E1
