호선,통행일자,역명, 이용인원 , 승차인원 , 하차인원 
1,2023-07-01,계양,6115,2931,3184
1,2023-07-01,귤현,1634,779,855
1,2023-07-01,박촌,5319,2816,2503
1,2023-07-01,임학,11591,5880,5711
1,2023-07-01,계산,17098,8585,8513
1,2023-07-01,경인교대입구,8796,4342,4454
1,2023-07-01,작전,20244,10446,9798
1,2023-07-01,갈산,9145,4794,4351
1,2023-07-01,부평구청,9828,4807,5021
1,2023-07-01,부평시장,18172,9104,9068
1,2023-07-01,부평,12594,6324,6270
1,2023-07-01,동수,5455,2782,2673
1,2023-07-01,부평삼거리,3829,1910,1919
1,2023-07-01,간석오거리,16249,8537,7712
1,2023-07-01,인천시청,6891,3536,3355
1,2023-07-01,예술회관,17766,8329,9437
1,2023-07-01,인천터미널,27003,13040,13963
1,2023-07-01,문학경기장,2427,1212,1215
1,2023-07-01,선학,9926,5024,4902
1,2023-07-01,신연수,6177,3239,2938
1,2023-07-01,원인재,3612,1946,1666
1,2023-07-01,동춘,15895,7878,8017
1,2023-07-01,동막,6405,3352,3053
1,2023-07-01,캠퍼스타운,7670,4003,3667
1,2023-07-01,테크노파크,18978,9380,9598
1,2023-07-01,지식정보단지,4247,2167,2080
1,2023-07-01,인천대입구,10250,5109,5141
1,2023-07-01,센트럴파크(재외동포청),7834,3807,4027
1,2023-07-01,국제업무지구,1684,900,784
1,2023-07-01,송도달빛축제공원,7854,3932,3922
1,2023-07-02,계양,4394,2048,2346
1,2023-07-02,귤현,1135,504,631
1,2023-07-02,박촌,4026,2027,1999
1,2023-07-02,임학,8640,4303,4337
1,2023-07-02,계산,13067,6453,6614
1,2023-07-02,경인교대입구,6972,3504,3468
1,2023-07-02,작전,14083,7157,6926
1,2023-07-02,갈산,6348,3231,3117
1,2023-07-02,부평구청,7055,3441,3614
1,2023-07-02,부평시장,14296,7117,7179
1,2023-07-02,부평,8623,4552,4071
1,2023-07-02,동수,4056,2098,1958
1,2023-07-02,부평삼거리,3161,1584,1577
1,2023-07-02,간석오거리,12092,6242,5850
1,2023-07-02,인천시청,5164,2624,2540
1,2023-07-02,예술회관,11523,5582,5941
1,2023-07-02,인천터미널,21836,11091,10745
1,2023-07-02,문학경기장,1169,567,602
1,2023-07-02,선학,7869,3833,4036
1,2023-07-02,신연수,4289,2205,2084
1,2023-07-02,원인재,2554,1312,1242
1,2023-07-02,동춘,11784,5828,5956
1,2023-07-02,동막,4248,2210,2038
1,2023-07-02,캠퍼스타운,5514,2749,2765
1,2023-07-02,테크노파크,14792,7263,7529
1,2023-07-02,지식정보단지,2990,1489,1501
1,2023-07-02,인천대입구,7841,3761,4080
1,2023-07-02,센트럴파크(재외동포청),5618,2762,2856
1,2023-07-02,국제업무지구,755,384,371
1,2023-07-02,송도달빛축제공원,6353,3155,3198
1,2023-07-03,계양,7313,3689,3624
1,2023-07-03,귤현,2386,941,1445
1,2023-07-03,박촌,7695,4048,3647
1,2023-07-03,임학,15582,7906,7676
1,2023-07-03,계산,19692,9961,9731
1,2023-07-03,경인교대입구,10614,5314,5300
1,2023-07-03,작전,27185,13826,13359
1,2023-07-03,갈산,19055,9720,9335
1,2023-07-03,부평구청,13715,6809,6906
1,2023-07-03,부평시장,26277,13233,13044
1,2023-07-03,부평,12725,6480,6245
1,2023-07-03,동수,8282,4223,4059
1,2023-07-03,부평삼거리,4984,2526,2458
1,2023-07-03,간석오거리,21319,11185,10134
1,2023-07-03,인천시청,10577,5370,5207
1,2023-07-03,예술회관,23438,11521,11917
1,2023-07-03,인천터미널,25431,12522,12909
1,2023-07-03,문학경기장,3518,1764,1754
1,2023-07-03,선학,11941,5974,5967
1,2023-07-03,신연수,11009,5570,5439
1,2023-07-03,원인재,5619,3038,2581
1,2023-07-03,동춘,20106,9730,10376
1,2023-07-03,동막,10780,5732,5048
1,2023-07-03,캠퍼스타운,11602,5838,5764
1,2023-07-03,테크노파크,20845,10310,10535
1,2023-07-03,지식정보단지,9811,4772,5039
1,2023-07-03,인천대입구,13317,6559,6758
1,2023-07-03,센트럴파크(재외동포청),7218,3630,3588
1,2023-07-03,국제업무지구,3521,1808,1713
1,2023-07-03,송도달빛축제공원,9854,4955,4899
1,2023-07-04,계양,7076,3585,3491
1,2023-07-04,귤현,2254,892,1362
1,2023-07-04,박촌,7706,4022,3684
1,2023-07-04,임학,15056,7565,7491
1,2023-07-04,계산,18231,9308,8923
1,2023-07-04,경인교대입구,10127,5129,4998
1,2023-07-04,작전,25967,13100,12867
1,2023-07-04,갈산,18578,9411,9167
1,2023-07-04,부평구청,12917,6394,6523
1,2023-07-04,부평시장,25035,12544,12491
1,2023-07-04,부평,12308,6298,6010
1,2023-07-04,동수,8276,4164,4112
1,2023-07-04,부평삼거리,4704,2416,2288
1,2023-07-04,간석오거리,20471,10632,9839
1,2023-07-04,인천시청,10283,5193,5090
1,2023-07-04,예술회관,22422,11089,11333
1,2023-07-04,인천터미널,23178,11566,11612
1,2023-07-04,문학경기장,3519,1766,1753
1,2023-07-04,선학,11242,5577,5665
1,2023-07-04,신연수,10458,5313,5145
1,2023-07-04,원인재,5205,2825,2380
1,2023-07-04,동춘,18673,9040,9633
1,2023-07-04,동막,10481,5558,4923
1,2023-07-04,캠퍼스타운,10895,5479,5416
1,2023-07-04,테크노파크,20178,10097,10081
1,2023-07-04,지식정보단지,9586,4584,5002
1,2023-07-04,인천대입구,12625,6234,6391
1,2023-07-04,센트럴파크(재외동포청),6718,3302,3416
1,2023-07-04,국제업무지구,3450,1756,1694
1,2023-07-04,송도달빛축제공원,8843,4446,4397
1,2023-07-05,계양,7511,3774,3737
1,2023-07-05,귤현,2476,975,1501
1,2023-07-05,박촌,8147,4314,3833
1,2023-07-05,임학,16143,8222,7921
1,2023-07-05,계산,20419,10349,10070
1,2023-07-05,경인교대입구,11035,5510,5525
1,2023-07-05,작전,27928,14199,13729
1,2023-07-05,갈산,19443,9874,9569
1,2023-07-05,부평구청,13997,6951,7046
1,2023-07-05,부평시장,27028,13512,13516
1,2023-07-05,부평,13686,6963,6723
1,2023-07-05,동수,8615,4374,4241
1,2023-07-05,부평삼거리,5168,2686,2482
1,2023-07-05,간석오거리,22289,11583,10706
1,2023-07-05,인천시청,11591,5954,5637
1,2023-07-05,예술회관,24797,12151,12646
1,2023-07-05,인천터미널,25768,12633,13135
1,2023-07-05,문학경기장,12354,6025,6329
1,2023-07-05,선학,12725,6387,6338
1,2023-07-05,신연수,11120,5658,5462
1,2023-07-05,원인재,5964,3226,2738
1,2023-07-05,동춘,21414,10543,10871
1,2023-07-05,동막,11256,5954,5302
1,2023-07-05,캠퍼스타운,12097,6114,5983
1,2023-07-05,테크노파크,22097,10953,11144
1,2023-07-05,지식정보단지,10001,4856,5145
1,2023-07-05,인천대입구,13938,6917,7021
1,2023-07-05,센트럴파크(재외동포청),7976,3972,4004
1,2023-07-05,국제업무지구,3485,1783,1702
1,2023-07-05,송도달빛축제공원,10605,5184,5421
1,2023-07-06,계양,7945,3976,3969
1,2023-07-06,귤현,2436,1001,1435
1,2023-07-06,박촌,7892,4144,3748
1,2023-07-06,임학,16567,8359,8208
1,2023-07-06,계산,20447,10395,10052
1,2023-07-06,경인교대입구,10852,5426,5426
1,2023-07-06,작전,28064,14327,13737
1,2023-07-06,갈산,19526,9903,9623
1,2023-07-06,부평구청,14390,7062,7328
1,2023-07-06,부평시장,26993,13497,13496
1,2023-07-06,부평,13680,7046,6634
1,2023-07-06,동수,8560,4357,4203
1,2023-07-06,부평삼거리,5453,2778,2675
1,2023-07-06,간석오거리,22381,11730,10651
1,2023-07-06,인천시청,11380,5712,5668
1,2023-07-06,예술회관,24006,11722,12284
1,2023-07-06,인천터미널,26812,13244,13568
1,2023-07-06,문학경기장,15587,7526,8061
1,2023-07-06,선학,12413,6117,6296
1,2023-07-06,신연수,11185,5701,5484
1,2023-07-06,원인재,5932,3190,2742
1,2023-07-06,동춘,21544,10556,10988
1,2023-07-06,동막,11694,6130,5564
1,2023-07-06,캠퍼스타운,12303,6159,6144
1,2023-07-06,테크노파크,22715,11342,11373
1,2023-07-06,지식정보단지,10365,5121,5244
1,2023-07-06,인천대입구,14897,7427,7470
1,2023-07-06,센트럴파크(재외동포청),8130,4014,4116
1,2023-07-06,국제업무지구,3608,1840,1768
1,2023-07-06,송도달빛축제공원,10658,5353,5305
1,2023-07-07,계양,7683,3890,3793
1,2023-07-07,귤현,2510,1039,1471
1,2023-07-07,박촌,8256,4372,3884
1,2023-07-07,임학,16867,8532,8335
1,2023-07-07,계산,20995,10735,10260
1,2023-07-07,경인교대입구,11156,5597,5559
1,2023-07-07,작전,28844,14747,14097
1,2023-07-07,갈산,19485,9912,9573
1,2023-07-07,부평구청,14110,6971,7139
1,2023-07-07,부평시장,27374,13760,13614
1,2023-07-07,부평,14832,7441,7391
1,2023-07-07,동수,8566,4403,4163
1,2023-07-07,부평삼거리,5261,2697,2564
1,2023-07-07,간석오거리,22676,11883,10793
1,2023-07-07,인천시청,11551,5870,5681
1,2023-07-07,예술회관,26290,12559,13731
1,2023-07-07,인천터미널,30930,14811,16119
1,2023-07-07,문학경기장,3759,1904,1855
1,2023-07-07,선학,13223,6705,6518
1,2023-07-07,신연수,11648,6006,5642
1,2023-07-07,원인재,5987,3162,2825
1,2023-07-07,동춘,22126,10825,11301
1,2023-07-07,동막,12234,6504,5730
1,2023-07-07,캠퍼스타운,12745,6451,6294
1,2023-07-07,테크노파크,23400,11638,11762
1,2023-07-07,지식정보단지,10109,4985,5124
1,2023-07-07,인천대입구,15793,7868,7925
1,2023-07-07,센트럴파크(재외동포청),8860,4432,4428
1,2023-07-07,국제업무지구,3666,1772,1894
1,2023-07-07,송도달빛축제공원,10581,5497,5084
1,2023-07-08,계양,6292,3057,3235
1,2023-07-08,귤현,1578,682,896
1,2023-07-08,박촌,5577,2921,2656
1,2023-07-08,임학,12160,6268,5892
1,2023-07-08,계산,17397,8723,8674
1,2023-07-08,경인교대입구,8890,4554,4336
1,2023-07-08,작전,21304,10925,10379
1,2023-07-08,갈산,9523,4993,4530
1,2023-07-08,부평구청,10238,5022,5216
1,2023-07-08,부평시장,18835,9357,9478
1,2023-07-08,부평,13567,6905,6662
1,2023-07-08,동수,5661,2890,2771
1,2023-07-08,부평삼거리,4060,2022,2038
1,2023-07-08,간석오거리,16565,8729,7836
1,2023-07-08,인천시청,7528,3927,3601
1,2023-07-08,예술회관,19424,9229,10195
1,2023-07-08,인천터미널,27452,13328,14124
1,2023-07-08,문학경기장,2800,1342,1458
1,2023-07-08,선학,10433,5215,5218
1,2023-07-08,신연수,6292,3300,2992
1,2023-07-08,원인재,3945,2076,1869
1,2023-07-08,동춘,16191,7977,8214
1,2023-07-08,동막,6797,3522,3275
1,2023-07-08,캠퍼스타운,8098,4187,3911
1,2023-07-08,테크노파크,20545,10076,10469
1,2023-07-08,지식정보단지,4230,2165,2065
1,2023-07-08,인천대입구,11565,5724,5841
1,2023-07-08,센트럴파크(재외동포청),7940,3973,3967
